OD590	CarbonSource	IndivID
0.04	a-Keto Butyric Acid	193
0.043	Phenethylamine	193
0.039	D-Cellobiose	193
0.041	Glucose-1-Phosphate	193
0.056	a-Keto Butyric Acid	193
0.136	Phenethylamine	193
0.043	a-D-Lactose	193
0.063	D,L-a-Glycerol Phosphate	193
0.134	D-Malic Acid	193
0.044	Putrescine	193
3.5	a-D-Lactose	193
0.04	D,L-a-Glycerol Phosphate	193
3.438	D-Malic Acid	193
0.046	Putrescine	193
0.133	a-D-Lactose	193
0.162	D,L-a-Glycerol Phosphate	193
0.547	D-Malic Acid	193
1.824	Putrescine	193
0.547	Water	196
0.04	ß-Methyl-D-Glucoside	196
3.5	D-Galactonic Acid y-Lactone	196
2.51	L-Arginine	196
0.042	Water	196
0.077	ß-Methyl-D-Glucoside	196
3.33	D-Galactonic Acid y-Lactone	196
0.077	L-Arginine	196
1.964	Water	196
0.673	ß-Methyl-D-Glucoside	196
0.089	D-Galactonic Acid y-Lactone	196
2.497	L-Arginine	196
0.943	Pyruvic Acid Methyl Ester	196
2.08	D-Xylose	196
2.672	D-Galacturonic Acid	196
0.041	L-Asparagine	196
2.364	Pyruvic Acid Methyl Ester	196
0.143	D-Xylose	196
2.564	D-Galacturonic Acid	196
2.914	L-Asparagine	196
2.301	Pyruvic Acid Methyl Ester	196
1.526	D-Xylose	196
2.813	D-Galacturonic Acid	196
2.37	L-Asparagine	196
2.656	Tween 40	196
0.04	i-Erythritol	196
0.051	2-Hydroxy Benzoid Acid	196
2.191	L-Phenylalanine	196
1.998	Tween 40	196
0.042	i-Erythritol	196
0.043	2-Hydroxy Benzoid Acid	196
0.042	L-Phenylalanine	196
0.056	Tween 40	196
1.377	i-Erythritol	196
0.048	2-Hydroxy Benzoid Acid	196
2.683	L-Phenylalanine	196
0.053	Tween 80	196
1.68	D-Mannitol	196
2.341	4-Hydroxy Benzoid Acid	196
0.038	L-Serine	196
0.349	Tween 80	196
0.045	D-Mannitol	196
0.078	4-Hydroxy Benzoid Acid	196
2.629	L-Serine	196
2.041	Tween 80	196
3.5	D-Mannitol	196
0.157	4-Hydroxy Benzoid Acid	196
0.587	L-Serine	196
2.482	a-Cyclodextrin	196
2.318	N-Accetyl-D-Glucosamine	196
0.039	y-Amino Butyric Acid	196
1.315	L-Threonine	196
2.259	a-Cyclodextrin	196
0.038	N-Accetyl-D-Glucosamine	196
0.487	y-Amino Butyric Acid	196
2.154	L-Threonine	196
0.053	a-Cyclodextrin	196
0.043	N-Accetyl-D-Glucosamine	196
2.859	y-Amino Butyric Acid	196
2.424	L-Threonine	196
3.5	Glycogen	196
2.091	D-Glucosaminic Acid	196
0.497	Itaconic Acid	196
0.209	Glycyl-L-Glutamic Acid	196
3.434	Glycogen	196
0.059	D-Glucosaminic Acid	196
0.75	Itaconic Acid	196
0.183	Glycyl-L-Glutamic Acid	196
2.724	Glycogen	196
3.28	D-Glucosaminic Acid	196
2.823	Itaconic Acid	196
0.438	Glycyl-L-Glutamic Acid	196
2.207	D-Cellobiose	196
0.052	Glucose-1-Phosphate	196
0.039	a-Keto Butyric Acid	196
0.077	Phenethylamine	196
0.035	D-Cellobiose	196
0.037	Glucose-1-Phosphate	196
0.044	a-Keto Butyric Acid	196
1.695	Phenethylamine	196
2.359	D-Cellobiose	196
2.758	Glucose-1-Phosphate	196
0.245	a-Keto Butyric Acid	196
0.085	Phenethylamine	196
2.35	a-D-Lactose	196
2.942	D,L-a-Glycerol Phosphate	196
1.797	D-Malic Acid	196
0.204	Putrescine	196
0.046	a-D-Lactose	196
0.093	D,L-a-Glycerol Phosphate	196
0.048	D-Malic Acid	196
0.31	Putrescine	196
0.439	a-D-Lactose	196
1.996	D,L-a-Glycerol Phosphate	196
2.953	D-Malic Acid	196
1.516	Putrescine	196
0.046	Water	197
0.039	ß-Methyl-D-Glucoside	197
